SYMBOL,DATE1,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
BHARTIARTL, 19-Aug-2022,733.11,13743828,136214,9426736,68.59,69108
ICICIBANK, 19-Aug-2022,872.65,10787199,173808,7325116,67.91,63922
RELIANCE, 19-Aug-2022,2631.57,4366123,159356,2043043,46.79,53764
ZOMATO, 19-Aug-2022,63.38,295737752,510653,83280440,28.16,52783
IIFL, 19-Aug-2022,338.37,23479739,63545,14008997,59.66,47402
LT, 19-Aug-2022,1922.04,4134598,120071,2464378,59.6,47366
AMBUJACEM, 19-Aug-2022,419.51,25171485,264011,10422037,41.4,43721
PEL, 19-Aug-2022,1976.11,4913463,107806,2203893,44.85,43551
ADANIPOWER, 19-Aug-2022,411.3,34688719,351074,10356729,29.86,42597
HDFC, 19-Aug-2022,2480.32,2411051,109473,1662311,68.95,41230
INFY, 19-Aug-2022,1596.83,4739884,163412,2477938,52.28,39568
KOTAKBANK, 19-Aug-2022,1911.46,4563906,114788,1928285,42.25,36858
HDFCBANK, 19-Aug-2022,1498.24,4031851,147346,2298218,57.0,34432
ADANIGREEN, 19-Aug-2022,2424.61,7397150,317964,1185639,16.03,28747
TATASTEEL, 19-Aug-2022,111.08,57134813,227022,25346066,44.36,28154
AXISBANK, 19-Aug-2022,760.62,7553270,113627,3684136,48.78,28022
MAXHEALTH, 19-Aug-2022,377.6,9386965,143174,6798812,72.43,25672
BAJFINANCE, 19-Aug-2022,7365.35,1100427,102547,346594,31.5,25527
LIQUIDBEES, 19-Aug-2022,1000.01,2835992,7743,2464039,86.88,24640
ADANIPORTS, 19-Aug-2022,867.71,24506694,318438,2811314,11.47,24394
IEX, 19-Aug-2022,165.75,32057669,144820,14702577,45.86,24369
TCS, 19-Aug-2022,3393.88,1398410,79927,703549,50.31,23877
ADANIENT, 19-Aug-2022,3173.83,6109949,229717,718746,11.76,22811
ULTRACEMCO, 19-Aug-2022,6674.09,641293,49442,334955,52.23,22355
MARUTI, 19-Aug-2022,8814.36,572597,60462,249038,43.49,21951
HINDUNILVR, 19-Aug-2022,2645.27,1324508,70400,825238,62.31,21829
TATAMOTORS, 19-Aug-2022,476.1,16636593,191324,4578965,27.52,21800
IRCTC, 19-Aug-2022,736.34,25609355,425718,2921524,11.41,21512
SBIN, 19-Aug-2022,523.18,11087222,146387,4095463,36.94,21426
TATACOMM, 19-Aug-2022,1123.52,3194343,72046,1860324,58.24,20901
